"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"csv.Dialect.__init__","False","35","25","1","35","1.0","-1","-1","-1","-1"
"csv.Dialect._validate","False","35","25","2","25","0.71","10","0.29","-1","-1"
"csv.DictReader.__init__","False","134","0","1","134","1.0","-1","-1","-1","-1"
"csv.DictReader.__iter__","False","4","0","1","4","1.0","-1","-1","-1","-1"
"csv.DictReader.__next__","False","29","4","8","11","0.38","4","0.14","14","0.48"
"csv.DictWriter.__init__","False","127","1","2","126","0.99","1","0.01","-1","-1"
"csv.DictWriter.writeheader","False","123","0","1","123","1.0","-1","-1","-1","-1"
"csv.DictWriter.writerow","False","127","2","1","127","1.0","-1","-1","-1","-1"
"csv.DictWriter._dict_to_list","False","129","2","3","126","0.98","2","0.02","1","0.01"
"csv.DictWriter.writerows","False","1","0","1","1","1.0","-1","-1","-1","-1"
"csv.Sniffer.__init__","False","8","0","1","8","1.0","-1","-1","-1","-1"
"csv.Sniffer.sniff","False","28","0","2","14","0.5","14","0.5","-1","-1"
"csv.Sniffer._guess_quote_and_delimiter","False","28","1","5","13","0.46","10","0.36","5","0.18"
"csv.Sniffer._guess_delimiter","False","14","0","5","4","0.29","4","0.29","6","0.43"
"csv.Sniffer.has_header","False","8","6","5","2","0.25","2","0.25","4","0.5"
