"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"gzip.open","False","34","8","10","15","0.44","8","0.24","11","0.32"
"gzip.GzipFile.__init__","False","375","4","15","235","0.63","27","0.07","113","0.3"
"gzip.GzipFile._init_write","False","287","0","1","287","1.0","-1","-1","-1","-1"
"gzip.GzipFile._write_gzip_header","False","287","0","11","253","0.88","15","0.05","19","0.07"
"gzip.write32u","False","861","0","1","861","1.0","-1","-1","-1","-1"
"gzip.GzipFile.write","False","314","3","5","301","0.96","6","0.02","7","0.02"
"gzip.GzipFile.close","False","399","0","5","253","0.63","49","0.12","97","0.24"
"gzip._GzipReader.__init__","False","84","0","1","84","1.0","-1","-1","-1","-1"
"gzip._PaddedFile.__init__","False","84","0","1","84","1.0","-1","-1","-1","-1"
"gzip.GzipFile.flush","False","25","1","3","17","0.68","7","0.28","1","0.04"
"gzip.GzipFile.fileno","False","26","0","1","26","1.0","-1","-1","-1","-1"
"gzip.GzipFile.read","False","325","11","2","324","1.0","1","0.0","-1","-1"
"gzip._GzipReader.read","False","346","11","9","206","0.6","62","0.18","78","0.23"
"gzip._GzipReader._init_read","False","341","0","1","341","1.0","-1","-1","-1","-1"
"gzip._GzipReader._read_gzip_header","False","341","9","6","244","0.72","59","0.17","38","0.11"
"gzip._PaddedFile.read","False","5630","0","3","4430","0.79","862","0.15","338","0.06"
"gzip._GzipReader._read_exact","False","545","10","2","535","0.98","10","0.02","-1","-1"
"gzip._PaddedFile.prepend","False","481","0","2","274","0.57","207","0.43","-1","-1"
"gzip._GzipReader._add_read_data","False","276","0","1","276","1.0","-1","-1","-1","-1"
"gzip._GzipReader._read_eof","False","262","2","3","206","0.79","54","0.21","2","0.01"
"gzip.GzipFile.readline","False","1183","1","1","1183","1.0","-1","-1","-1","-1"
"gzip.GzipFile.readable","False","11","0","1","11","1.0","-1","-1","-1","-1"
"gzip.GzipFile.seek","False","1027","2","4","1004","0.98","16","0.02","7","0.01"
"gzip._PaddedFile.seekable","False","1004","0","1","1004","1.0","-1","-1","-1","-1"
"gzip.compress","False","22","0","1","22","1.0","-1","-1","-1","-1"
"gzip.decompress","False","13","0","1","13","1.0","-1","-1","-1","-1"
"gzip.GzipFile.peek","False","4","0","1","4","1.0","-1","-1","-1","-1"
"gzip.GzipFile.read1","False","7","0","2","5","0.71","2","0.29","-1","-1"
"gzip._GzipReader._rewind","False","1","0","1","1","1.0","-1","-1","-1","-1"
"gzip._PaddedFile.seek","False","1","0","1","1","1.0","-1","-1","-1","-1"
"gzip.GzipFile.writable","False","10","0","1","10","1.0","-1","-1","-1","-1"
"gzip.GzipFile.seekable","False","10","0","1","10","1.0","-1","-1","-1","-1"
