"pos","call_count","call_ratio","run_count","not_run_count"
"1","195","0.35","30","6"
"2","66","0.12","21","15"
"3","54","0.1","26","10"
"4","51","0.09","18","18"
"5","40","0.07","27","9"
"6","35","0.06","22","14"
"7","29","0.05","25","11"
"8","27","0.05","23","13"
"9","16","0.03","20","16"
"10","12","0.02","23","13"
"11","6","0.01","28","8"
"12","5","0.01","18","18"
"13","4","0.01","20","16"
"14","3","0.01","19","17"
"15","3","0.01","6","30"
"16","3","0.01","15","21"
"17","2","0.0","21","15"
"18","2","0.0","23","13"
"19","2","0.0","23","13"
"20","2","0.0","28","8"
"21","1","0.0","19","17"
"22","1","0.0","16","20"
"23","1","0.0","22","14"
"24","1","0.0","26","10"
"25","1","0.0","24","12"
"26","1","0.0","21","15"
