"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"thefuck.const._GenConst.__init__","False","10","0","1","10","1.0","-1","-1","-1","-1"
"thefuck.utils.memoize","False","38","0","1","38","1.0","-1","-1","-1","-1"
"thefuck.utils.Cache.__init__","False","1","0","1","1","1.0","-1","-1","-1","-1"
"thefuck.utils.cache","False","14","0","1","14","1.0","-1","-1","-1","-1"
"thefuck.shells._get_shell_from_env","False","1","0","1","1","1.0","-1","-1","-1","-1"
"thefuck.shells._get_shell_from_proc","False","1","0","1","1","1.0","-1","-1","-1","-1"
"thefuck.types.Rule.__init__","False","28","0","1","28","1.0","-1","-1","-1","-1"
"thefuck.utils.for_app","False","87","0","1","87","1.0","-1","-1","-1","-1"
"thefuck.utils.which","False","31","0","1","31","1.0","-1","-1","-1","-1"
"thefuck.types.Command.__init__","False","1832","0","1","1832","1.0","-1","-1","-1","-1"
"thefuck.rules.fix_file._make_pattern","False","12","0","1","12","1.0","-1","-1","-1","-1"
"thefuck.utils.default_settings","False","4","0","1","4","1.0","-1","-1","-1","-1"
"thefuck.specific.archlinux.archlinux_env","False","3","0","1","3","1.0","-1","-1","-1","-1"
"thefuck.conf.Settings.__setattr__","False","1948","0","1","1948","1.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser.__init__","False","12","0","1","12","1.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser._add_arguments","False","12","0","1","12","1.0","-1","-1","-1","-1"
"thefuck.utils.get_alias","False","29","0","1","29","1.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser._add_conflicting_arguments","False","12","0","1","12","1.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser.parse","False","12","0","1","12","1.0","-1","-1","-1","-1"
"thefuck.argument_parser.Parser._prepare_arguments","False","12","0","2","6","0.5","6","0.5","-1","-1"
"thefuck.conf.Settings.init","False","15","0","1","15","1.0","-1","-1","-1","-1"
"thefuck.conf.Settings._setup_user_dir","False","15","0","1","15","1.0","-1","-1","-1","-1"
"thefuck.conf.Settings._get_user_dir_path","False","19","0","2","17","0.89","2","0.11","-1","-1"
"thefuck.conf.Settings._init_settings_file","False","17","0","2","16","0.94","1","0.06","-1","-1"
"thefuck.conf.Settings.__getattr__","False","443","0","1","443","1.0","-1","-1","-1","-1"
"thefuck.conf.Settings._settings_from_file","False","15","0","1","15","1.0","-1","-1","-1","-1"
"thefuck.conf.Settings._settings_from_env","False","15","0","1","15","1.0","-1","-1","-1","-1"
"thefuck.conf.Settings._settings_from_args","False","15","0","2","14","0.93","1","0.07","-1","-1"
"thefuck.conf.Settings._val_from_env","False","11","0","5","3","0.27","3","0.27","5","0.45"
"thefuck.conf.Settings._rules_from_env","False","3","0","2","2","0.67","1","0.33","-1","-1"
"thefuck.conf.Settings._priority_from_env","True","1","1","1","1","1.0","-1","-1","-1","-1"
"thefuck.const._GenConst.__repr__","False","2","0","1","2","1.0","-1","-1","-1","-1"
"thefuck.corrector.get_rules","False","5","0","1","5","1.0","-1","-1","-1","-1"
"thefuck.corrector.get_rules_import_paths","True","5","0","1","5","1.0","-1","-1","-1","-1"
"thefuck.corrector.get_loaded_rules","True","5","0","2","3","0.6","2","0.4","-1","-1"
"thefuck.logs.debug_time","False","23","1","1","23","1.0","-1","-1","-1","-1"
"thefuck.logs.debug","False","41","0","2","39","0.95","2","0.05","-1","-1"
"thefuck.logs.exception","False","3","0","1","3","1.0","-1","-1","-1","-1"
"thefuck.logs.color","False","59","0","2","39","0.66","20","0.34","-1","-1"
"thefuck.corrector.get_corrected_commands","False","1","0","1","1","1.0","-1","-1","-1","-1"
"thefuck.corrector.organize_commands","True","2","0","1","2","1.0","-1","-1","-1","-1"
"thefuck.types.Rule.is_match","False","6","1","3","3","0.5","2","0.33","1","0.17"
"thefuck.types.Rule.get_corrected_commands","True","4","0","2","2","0.5","2","0.5","-1","-1"
"thefuck.types.CorrectedCommand.__init__","False","42","0","1","42","1.0","-1","-1","-1","-1"
"thefuck.types.CorrectedCommand.__eq__","False","23","0","1","23","1.0","-1","-1","-1","-1"
"thefuck.types.CorrectedCommand.__hash__","False","9","0","1","9","1.0","-1","-1","-1","-1"
"thefuck.types.CorrectedCommand.__repr__","False","9","0","1","9","1.0","-1","-1","-1","-1"
