"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"email.charset.Charset.__init__","False","193","1","3","158","0.82","34","0.18","1","0.01"
"email._policybase._append_doc","False","13","0","1","13","1.0","-1","-1","-1","-1"
"email._policybase._PolicyBase.__init__","False","24","0","2","15","0.62","9","0.38","-1","-1"
"email.contentmanager.ContentManager.__init__","False","35","0","1","35","1.0","-1","-1","-1","-1"
"email.contentmanager.ContentManager.add_get_handler","False","17","0","1","17","1.0","-1","-1","-1","-1"
"email.contentmanager.ContentManager.add_set_handler","False","36","0","1","36","1.0","-1","-1","-1","-1"
"email.headerregistry.HeaderRegistry.__init__","False","34","0","2","33","0.97","1","0.03","-1","-1"
"email.policy.EmailPolicy.__init__","False","23","0","1","23","1.0","-1","-1","-1","-1"
"email._policybase._PolicyBase.clone","False","662","0","4","395","0.6","263","0.4","4","0.01"
"email.message.MIMEPart.__init__","False","1191","0","2","1069","0.9","122","0.1","-1","-1"
"email.message.Message.__init__","False","2356","0","1","2356","1.0","-1","-1","-1","-1"
"email.headerregistry.HeaderRegistry.__call__","False","5486","0","1","5486","1.0","-1","-1","-1","-1"
"email.headerregistry.HeaderRegistry.__getitem__","False","6427","0","1","6427","1.0","-1","-1","-1","-1"
"email._header_value_parser.get_unstructured","False","510","3","14","282","0.55","117","0.23","111","0.22"
"email._header_value_parser.TokenList.__init__","False","45189","0","1","45189","1.0","-1","-1","-1","-1"
"email._header_value_parser._validate_xtext","False","19704","0","3","19652","1.0","36","0.0","16","0.0"
"email.utils._has_surrogates","False","32846","216","2","32630","0.99","216","0.01","-1","-1"
"email._header_value_parser.get_fws","False","5239","0","1","5239","1.0","-1","-1","-1","-1"
"email._header_value_parser.TokenList.__str__","False","20875","0","1","20875","1.0","-1","-1","-1","-1"
"email.headerregistry.BaseHeader.init","False","5485","0","1","5485","1.0","-1","-1","-1","-1"
"email.message_from_string","False","357","9","1","357","1.0","-1","-1","-1","-1"
"email.parser.Parser.__init__","False","560","0","1","560","1.0","-1","-1","-1","-1"
"email.parser.Parser.parsestr","False","483","12","1","483","1.0","-1","-1","-1","-1"
"email.parser.Parser.parse","False","560","16","4","519","0.93","22","0.04","19","0.03"
"email.feedparser.FeedParser.__init__","False","573","1","4","250","0.44","242","0.42","81","0.14"
"email.feedparser.BufferedSubFile.__init__","False","575","0","1","575","1.0","-1","-1","-1","-1"
"email.feedparser.FeedParser.feed","False","80608","15","1","80608","1.0","-1","-1","-1","-1"
"email.feedparser.BufferedSubFile.push","False","82617","0","3","80506","0.97","1352","0.02","759","0.01"
"email.feedparser.BufferedSubFile.pushlines","False","2669","0","1","2669","1.0","-1","-1","-1","-1"
"email.feedparser.FeedParser._call_parse","False","81166","573","3","80593","0.99","557","0.01","16","0.0"
"email.feedparser.FeedParser._parsegen","True","1524","1388","61","593","0.39","215","0.14","716","0.47"
"email.feedparser.FeedParser._new_message","False","1524","0","4","881","0.58","572","0.38","71","0.05"
"email.feedparser.BufferedSubFile.__iter__","False","2891","0","1","2891","1.0","-1","-1","-1","-1"
"email.feedparser.BufferedSubFile.__next__","False","91444","1535","2","89909","0.98","1535","0.02","-1","-1"
"email.feedparser.BufferedSubFile.readline","False","98609","0","5","82602","0.84","8439","0.09","7568","0.08"
"email.feedparser.FeedParser._parse_headers","False","1523","7","9","754","0.5","427","0.28","342","0.22"
"email.policy.EmailPolicy.header_source_parse","False","1534","0","1","1534","1.0","-1","-1","-1","-1"
"email.message.Message.set_raw","False","4626","0","1","4626","1.0","-1","-1","-1","-1"
"email.message.Message.get_content_type","False","9454","0","3","7269","0.77","2156","0.23","29","0.0"
"email.message.Message.get","False","13396","0","3","9503","0.71","3305","0.25","588","0.04"
"email.message.Message.get_default_type","False","2168","0","1","2168","1.0","-1","-1","-1","-1"
"email.message.Message.get_content_maintype","False","5151","0","1","5151","1.0","-1","-1","-1","-1"
"email.feedparser.FeedParser.close","False","558","1","4","313","0.56","227","0.41","18","0.03"
"email.feedparser.BufferedSubFile.close","False","558","0","1","558","1.0","-1","-1","-1","-1"
"email.message.Message.set_payload","False","1454","0","6","1242","0.85","85","0.06","127","0.09"
"email.feedparser.FeedParser._pop_message","False","1503","0","2","946","0.63","557","0.37","-1","-1"
"email.message.Message.__setitem__","False","1614","4","4","859","0.53","434","0.27","321","0.2"
"email.policy.EmailPolicy.header_max_count","False","941","0","1","941","1.0","-1","-1","-1","-1"
"email.policy.EmailPolicy.header_store_parse","False","1002","1","3","976","0.97","25","0.02","1","0.0"
"email.utils.parsedate_to_datetime","False","23","13","3","11","0.48","10","0.43","2","0.09"
"email._parseaddr._parsedate_tz","False","64","1","26","9","0.14","7","0.11","48","0.75"
"email.utils.format_datetime","False","19","2","4","12","0.63","3","0.16","4","0.21"
"email.utils._format_timetuple_and_zone","False","17","0","1","17","1.0","-1","-1","-1","-1"
"email.headerregistry.DateHeader.init","False","14","0","1","14","1.0","-1","-1","-1","-1"
"email._header_value_parser.get_address_list","False","287","3","5","270","0.94","13","0.05","4","0.01"
"email._header_value_parser.get_address","False","334","306","3","303","0.91","28","0.08","3","0.01"
"email._header_value_parser.get_group","False","341","306","4","306","0.9","30","0.09","5","0.01"
"email._header_value_parser.get_display_name","False","715","0","1","715","1.0","-1","-1","-1","-1"
"email._header_value_parser.get_phrase","False","973","11","7","874","0.9","70","0.07","29","0.03"
"email._header_value_parser.get_word","False","1254","32","7","982","0.78","154","0.12","118","0.09"
"email._header_value_parser.get_atom","False","1077","3","9","865","0.8","182","0.17","30","0.03"
"email._header_value_parser.get_atext","False","2325","1","2","2324","1.0","1","0.0","-1","-1"
"email._header_value_parser.get_mailbox","False","376","285","5","242","0.64","91","0.24","43","0.11"
"email._header_value_parser.get_name_addr","False","386","280","10","242","0.63","64","0.17","80","0.21"
"email._header_value_parser.get_angle_addr","False","379","265","10","260","0.69","102","0.27","17","0.04"
"email._header_value_parser.get_addr_spec","False","417","18","4","388","0.93","13","0.03","16","0.04"
"email._header_value_parser.get_local_part","False","438","55","17","357","0.82","17","0.04","64","0.15"
"email._header_value_parser.get_dot_atom","False","849","57","6","766","0.9","54","0.06","29","0.03"
"email._header_value_parser.get_dot_atom_text","False","880","66","4","408","0.46","406","0.46","66","0.07"
"email._header_value_parser.get_domain","False","412","11","10","389","0.94","6","0.01","17","0.04"
"email.headerregistry.Address.__init__","False","342","18","6","311","0.91","13","0.04","18","0.05"
"email.headerregistry.Group.__init__","False","313","0","1","313","1.0","-1","-1","-1","-1"
"email.headerregistry.Group.__str__","False","307","0","3","277","0.9","28","0.09","2","0.01"
"email.headerregistry.Address.__str__","False","376","0","3","280","0.74","56","0.15","40","0.11"
"email.headerregistry.AddressHeader.init","False","275","0","1","275","1.0","-1","-1","-1","-1"
"email._encoded_words.decode","False","205","14","6","191","0.93","6","0.03","8","0.04"
"email._encoded_words.decode_b","False","54","18","4","36","0.67","7","0.13","11","0.2"
"email.errors.MessageDefect.__init__","False","686","0","2","572","0.83","114","0.17","-1","-1"
"email._encoded_words.decode_q","False","190","0","1","190","1.0","-1","-1","-1","-1"
"email._encoded_words.encode","False","437","0","4","430","0.98","4","0.01","3","0.01"
