"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"configparser.RawConfigParser.__init__","False","516","3","11","274","0.53","78","0.15","164","0.32"
"configparser.ConverterMapping.__init__","False","516","0","1","516","1.0","-1","-1","-1","-1"
"configparser.SectionProxy.__init__","False","3410","0","1","3410","1.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__iter__","False","3410","0","1","3410","1.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__setitem__","False","37","2","3","35","0.95","1","0.03","1","0.03"
"configparser.RawConfigParser.__iter__","False","127","0","1","127","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.__getitem__","False","2741","126","2","2615","0.95","126","0.05","-1","-1"
"configparser.RawConfigParser.read_string","False","242","20","1","242","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.read_file","False","321","95","3","247","0.77","58","0.18","16","0.05"
"configparser.RawConfigParser._read","False","408","94","53","60","0.15","47","0.12","301","0.74"
"configparser.RawConfigParser.optionxform","False","27659","3","1","27659","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser._join_multiline_values","False","380","0","3","366","0.96","13","0.03","1","0.0"
"configparser.Interpolation.before_read","False","2806","0","1","2806","1.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__len__","False","6","0","1","6","1.0","-1","-1","-1","-1"
"configparser.ConverterMapping.__getitem__","False","31","5","1","31","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser._get_conv","False","1274","765","4","622","0.49","509","0.4","143","0.11"
"configparser.RawConfigParser._get","False","1274","765","1","1274","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.get","False","4362","991","6","1959","0.45","1435","0.33","968","0.22"
"configparser.RawConfigParser._unify_values","False","4362","318","5","3988","0.91","189","0.04","185","0.04"
"configparser.BasicInterpolation.before_get","False","1093","12","2","1081","0.99","12","0.01","-1","-1"
"configparser.BasicInterpolation._interpolate_some","False","1212","52","14","1039","0.86","99","0.08","74","0.06"
"configparser.NoOptionError.__init__","False","1913","0","2","1183","0.62","730","0.38","-1","-1"
"configparser.RawConfigParser.has_section","False","2624","0","1","2624","1.0","-1","-1","-1","-1"
"configparser.SectionProxy.get","False","854","0","2","621","0.73","233","0.27","-1","-1"
"configparser.RawConfigParser.getboolean","False","537","84","1","537","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser._convert_to_boolean","False","293","56","2","237","0.81","56","0.19","-1","-1"
"configparser.SectionProxy.__getitem__","False","604","38","2","576","0.95","28","0.05","-1","-1"
"configparser.RawConfigParser.has_option","False","1177","0","4","714","0.61","320","0.27","143","0.12"
"configparser.Interpolation.before_get","False","657","0","1","657","1.0","-1","-1","-1","-1"
"configparser.ConfigParser.add_section","False","2192","147","2","2187","1.0","5","0.0","-1","-1"
"configparser.RawConfigParser._validate_value_types","False","20876","41","5","20796","1.0","39","0.0","41","0.0"
"configparser.RawConfigParser.add_section","False","2299","160","3","2139","0.93","114","0.05","46","0.02"
"configparser.RawConfigParser.sections","False","226","0","1","226","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.items","False","110","9","5","38","0.35","30","0.27","42","0.38"
"configparser.SectionProxy.__len__","False","154","0","1","154","1.0","-1","-1","-1","-1"
"configparser.SectionProxy._options","False","520","0","2","416","0.8","104","0.2","-1","-1"
"configparser.RawConfigParser.options","False","501","15","2","486","0.97","15","0.03","-1","-1"
"configparser.SectionProxy.__iter__","False","366","0","1","366","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.__len__","False","29","0","1","29","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.defaults","False","132","0","1","132","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.getint","False","341","29","1","341","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.getfloat","False","348","28","1","348","1.0","-1","-1","-1","-1"
"configparser.NoSectionError.__init__","False","215","0","1","215","1.0","-1","-1","-1","-1"
"configparser.SectionProxy.__setitem__","False","71","1","1","71","1.0","-1","-1","-1","-1"
"configparser.ConfigParser.set","False","18613","70","2","18577","1.0","36","0.0","-1","-1"
"configparser.RawConfigParser.set","False","18755","42","5","18565","0.99","146","0.01","44","0.0"
"configparser.BasicInterpolation.before_set","False","18364","12","2","18352","1.0","12","0.0","-1","-1"
"configparser.RawConfigParser.remove_section","False","168","0","2","112","0.67","56","0.33","-1","-1"
"configparser.RawConfigParser.remove_option","False","290","29","5","93","0.32","84","0.29","113","0.39"
"configparser.RawConfigParser.__delitem__","False","140","56","3","84","0.6","28","0.2","28","0.2"
"configparser.RawConfigParser.__contains__","False","158","0","1","158","1.0","-1","-1","-1","-1"
"configparser.SectionProxy.__delitem__","False","163","84","3","79","0.48","56","0.34","28","0.17"
"configparser.SectionProxy.__contains__","False","200","0","1","200","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.read_dict","False","237","143","7","109","0.46","66","0.28","62","0.26"
"configparser.ConfigParser._read_defaults","False","85","0","1","85","1.0","-1","-1","-1","-1"
"configparser.Interpolation.before_set","False","303","0","1","303","1.0","-1","-1","-1","-1"
"configparser.RawConfigParser.__setitem__","False","126","0","4","56","0.44","28","0.22","42","0.33"
"configparser.RawConfigParser.popitem","False","84","28","2","56","0.67","28","0.33","-1","-1"
