"pos","call_count","call_ratio","run_count","not_run_count"
"1","1286","0.29","16","16"
"2","690","0.15","17","15"
"3","578","0.13","21","11"
"4","225","0.05","20","12"
"5","205","0.05","21","11"
"6","199","0.04","17","15"
"7","189","0.04","23","9"
"8","156","0.04","18","14"
"9","148","0.03","20","12"
"10","129","0.03","19","13"
"11","105","0.02","9","23"
"12","105","0.02","19","13"
"13","93","0.02","22","10"
"14","90","0.02","11","21"
"15","63","0.01","21","11"
"16","49","0.01","15","17"
"17","42","0.01","20","12"
"18","18","0.0","16","16"
"19","10","0.0","27","5"
"20","10","0.0","20","12"
"21","9","0.0","19","13"
"22","9","0.0","17","15"
"23","6","0.0","26","6"
"24","6","0.0","27","5"
"25","6","0.0","18","14"
"26","4","0.0","29","3"
"27","3","0.0","25","7"
"28","3","0.0","24","8"
"29","3","0.0","23","9"
"30","3","0.0","23","9"
"31","2","0.0","22","10"
"32","2","0.0","24","8"
"33","2","0.0","24","8"
"34","2","0.0","27","5"
"35","2","0.0","25","7"
"36","2","0.0","24","8"
"37","2","0.0","24","8"
"38","1","0.0","22","10"
