"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"pathlib._Flavour.__init__","False","2","0","1","2","1.0","-1","-1","-1","-1"
"pathlib._Flavour.parse_parts","False","4457","0","38","1286","0.29","690","0.15","2481","0.56"
"pathlib._PosixFlavour.splitroot","False","3954","0","3","2827","0.71","1097","0.28","30","0.01"
"pathlib.PurePath.__str__","False","20694","18762","2","18762","0.91","1932","0.09","-1","-1"
"pathlib.PurePath.__rtruediv__","False","5","1","2","4","0.8","1","0.2","-1","-1"
"pathlib.PurePath.__truediv__","False","607","2","2","605","1.0","2","0.0","-1","-1"
"pathlib.PurePath._make_child","False","636","2","2","634","1.0","2","0.0","-1","-1"
"pathlib._WindowsFlavour.splitroot","False","1351","0","11","611","0.45","232","0.17","508","0.38"
"pathlib._WindowsFlavour._split_extended_path","False","149","0","3","137","0.92","8","0.05","4","0.03"
"pathlib._Flavour.join_parsed_parts","False","634","0","5","602","0.95","22","0.03","10","0.02"
"pathlib.Path.stat","False","7229","274","1","7229","1.0","-1","-1","-1","-1"
"pathlib.PurePath.__fspath__","False","19657","0","1","19657","1.0","-1","-1","-1","-1"
"pathlib.Path.chmod","False","14","0","1","14","1.0","-1","-1","-1","-1"
"pathlib.Path.resolve","False","99","31","6","56","0.57","19","0.19","24","0.24"
"pathlib.PurePath.__eq__","False","7461","0","2","7449","1.0","12","0.0","-1","-1"
"pathlib._PosixFlavour.casefold_parts","False","8084","0","1","8084","1.0","-1","-1","-1","-1"
"pathlib.PurePath.is_absolute","False","69","0","2","46","0.67","23","0.33","-1","-1"
"pathlib.Path.exists","False","6286","148","4","6138","0.98","130","0.02","18","0.0"
"pathlib._ignore_error","False","202","0","2","192","0.95","10","0.05","-1","-1"
"pathlib.Path.expanduser","False","30","2","4","14","0.47","8","0.27","8","0.27"
"pathlib.Path.absolute","False","4","0","2","2","0.5","2","0.5","-1","-1"
"pathlib.Path.glob","True","227","1","3","221","0.97","5","0.02","1","0.0"
"pathlib._is_wildcard_pattern","False","48","0","1","48","1.0","-1","-1","-1","-1"
"pathlib._PreciseSelector.__init__","False","68","0","3","46","0.68","12","0.18","10","0.15"
"pathlib._Selector.select_from","False","445","0","1","445","1.0","-1","-1","-1","-1"
"pathlib.Path.is_dir","False","566","11","3","555","0.98","7","0.01","4","0.01"
"pathlib._PreciseSelector._select_from","True","6083","210","5","5826","0.96","200","0.03","57","0.01"
"pathlib.Path._make_child_relpath","False","18129","0","1","18129","1.0","-1","-1","-1","-1"
"pathlib._TerminatingSelector._select_from","True","6312","200","1","6312","1.0","-1","-1","-1","-1"
"pathlib.PurePath.__hash__","False","12414","6384","2","6384","0.51","6030","0.49","-1","-1"
"pathlib._WildcardSelector.__init__","False","38","0","1","38","1.0","-1","-1","-1","-1"
"pathlib._PosixFlavour.compile_pattern","False","38","0","1","38","1.0","-1","-1","-1","-1"
"pathlib._WildcardSelector._select_from","True","6090","20","10","5802","0.95","243","0.04","45","0.01"
"pathlib.Path.mkdir","False","490","316","5","192","0.39","174","0.36","124","0.25"
"pathlib.Path.rglob","True","219","200","2","216","0.99","3","0.01","-1","-1"
"pathlib._RecursiveWildcardSelector.__init__","False","10","0","1","10","1.0","-1","-1","-1","-1"
"pathlib._RecursiveWildcardSelector._select_from","True","219","200","3","200","0.91","16","0.07","3","0.01"
"pathlib._RecursiveWildcardSelector._iterate_directories","True","6085","6025","7","5800","0.95","200","0.03","85","0.01"
"pathlib.Path.touch","False","17","2","1","17","1.0","-1","-1","-1","-1"
"pathlib._NormalAccessor.touch","False","17","11","4","9","0.53","4","0.24","4","0.24"
"pathlib.Path.symlink_to","False","8","0","1","8","1.0","-1","-1","-1","-1"
"pathlib.Path.group","False","2","0","1","2","1.0","-1","-1","-1","-1"
"pathlib._NormalAccessor.group","False","2","0","1","2","1.0","-1","-1","-1","-1"
"pathlib.Path.hardlink_to","False","4","0","1","4","1.0","-1","-1","-1","-1"
"pathlib.Path.is_block_device","False","15","9","3","6","0.4","5","0.33","4","0.27"
"pathlib.Path.is_char_device","False","19","13","3","8","0.42","6","0.32","5","0.26"
"pathlib.Path.is_file","False","33","19","3","14","0.42","12","0.36","7","0.21"
"pathlib.Path.is_fifo","False","21","13","3","8","0.38","8","0.38","5","0.24"
