"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"difflib.SequenceMatcher.__init__","False","179","0","1","179","1.0","-1","-1","-1","-1"
"difflib.SequenceMatcher.set_seqs","False","252","0","1","252","1.0","-1","-1","-1","-1"
"difflib.SequenceMatcher.set_seq1","False","1009","0","2","966","0.96","43","0.04","-1","-1"
"difflib.SequenceMatcher.set_seq2","False","483","0","2","442","0.92","41","0.08","-1","-1"
"difflib.SequenceMatcher.ratio","False","304","0","1","304","1.0","-1","-1","-1","-1"
"difflib.SequenceMatcher.get_matching_blocks","False","438","0","13","213","0.49","141","0.32","84","0.19"
"difflib.SequenceMatcher.find_longest_match","False","3629","0","44","1181","0.33","1011","0.28","1437","0.4"
"difflib._calculate_ratio","False","1576","0","2","1573","1.0","3","0.0","-1","-1"
"difflib.diff_bytes","True","23","5","5","12","0.52","6","0.26","5","0.22"
"difflib.diff_bytes.<locals>.decode","False","161","5","2","156","0.97","5","0.03","-1","-1"
"difflib.unified_diff","True","18","3","4","6","0.33","5","0.28","7","0.39"
"difflib._check_types","False","31","5","4","26","0.84","2","0.06","3","0.1"
"difflib.SequenceMatcher.get_grouped_opcodes","True","28","0","6","11","0.39","6","0.21","11","0.39"
"difflib.SequenceMatcher.get_opcodes","False","130","0","9","66","0.51","22","0.17","42","0.32"
"difflib._format_range_unified","False","27","0","3","14","0.52","11","0.41","2","0.07"
"difflib.context_diff","True","13","10","3","8","0.62","3","0.23","2","0.15"
"difflib._format_range_context","False","21","0","3","14","0.67","5","0.24","2","0.1"
"difflib.IS_CHARACTER_JUNK","False","3906","0","1","3906","1.0","-1","-1","-1","-1"
"difflib.IS_LINE_JUNK","False","16","0","1","16","1.0","-1","-1","-1","-1"
"difflib.Differ.__init__","False","26","0","1","26","1.0","-1","-1","-1","-1"
"difflib.Differ.compare","True","24","0","4","14","0.58","6","0.25","4","0.17"
"difflib.Differ._fancy_replace","True","100","0","9","45","0.45","19","0.19","36","0.36"
"difflib.SequenceMatcher.real_quick_ratio","False","758","0","1","758","1.0","-1","-1","-1","-1"
"difflib.SequenceMatcher.quick_ratio","False","514","0","9","234","0.46","164","0.32","116","0.23"
"difflib.Differ._fancy_helper","True","144","0","4","60","0.42","58","0.4","26","0.18"
"difflib.Differ._qformat","True","73","0","3","49","0.67","19","0.26","5","0.07"
"difflib._keep_original_ws","False","146","0","1","146","1.0","-1","-1","-1","-1"
"difflib._mdiff","True","18","8","8","10","0.56","2","0.11","6","0.33"
"difflib.ndiff","False","20","0","1","20","1.0","-1","-1","-1","-1"
"difflib._mdiff.<locals>._line_pair_iterator","True","18","18","2","16","0.89","2","0.11","-1","-1"
"difflib._mdiff.<locals>._line_iterator","True","18","0","8","5","0.28","3","0.17","10","0.56"
"difflib.Differ._plain_replace","True","28","0","1","28","1.0","-1","-1","-1","-1"
"difflib.Differ._dump","True","125","0","1","125","1.0","-1","-1","-1","-1"
"difflib._mdiff.<locals>._make_line","False","802","0","3","601","0.75","103","0.13","98","0.12"
"difflib.HtmlDiff.__init__","False","6","0","1","6","1.0","-1","-1","-1","-1"
"difflib.HtmlDiff.make_file","False","4","0","1","4","1.0","-1","-1","-1","-1"
"difflib.HtmlDiff.make_table","False","17","0","6","5","0.29","3","0.18","9","0.53"
"difflib.HtmlDiff._make_prefix","False","17","0","1","17","1.0","-1","-1","-1","-1"
"difflib.HtmlDiff._tab_newline_replace","False","17","0","1","17","1.0","-1","-1","-1","-1"
"difflib.HtmlDiff._collect_lines","False","17","4","3","10","0.59","4","0.24","3","0.18"
"difflib.HtmlDiff._format_line","False","686","104","2","582","0.85","104","0.15","-1","-1"
"difflib._mdiff.<locals>._make_line.<locals>.record_sub_info","False","118","0","1","118","1.0","-1","-1","-1","-1"
"difflib.HtmlDiff._convert_flags","False","17","0","4","13","0.76","2","0.12","2","0.12"
"difflib.HtmlDiff._line_wrapper","True","3","0","2","2","0.67","1","0.33","-1","-1"
"difflib.HtmlDiff._split_line","False","132","0","5","82","0.62","24","0.18","26","0.2"
"difflib.get_close_matches","False","4","0","2","3","0.75","1","0.25","-1","-1"
"difflib.restore","True","2","0","1","2","1.0","-1","-1","-1","-1"
