"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"cookiecutter.cli.version_msg","False","1","0","1","1","1.0","-1","-1","-1","-1"
"cookiecutter.generate.generate_files","False","66","18","14","42","0.64","5","0.08","19","0.29"
"cookiecutter.find.find_template","False","68","1","2","67","0.99","1","0.01","-1","-1"
"cookiecutter.generate.ensure_dir_is_templated","False","69","4","2","65","0.94","4","0.06","-1","-1"
"cookiecutter.environment.StrictEnvironment.__init__","False","159","3","1","159","1.0","-1","-1","-1","-1"
"cookiecutter.environment.ExtensionLoaderMixin.__init__","False","159","3","2","156","0.98","3","0.02","-1","-1"
"cookiecutter.extensions.JsonifyExtension.__init__","False","159","0","1","159","1.0","-1","-1","-1","-1"
"cookiecutter.extensions.RandomStringExtension.__init__","False","159","0","1","159","1.0","-1","-1","-1","-1"
"cookiecutter.extensions.SlugifyExtension.__init__","False","159","0","1","159","1.0","-1","-1","-1","-1"
"cookiecutter.extensions.UUIDExtension.__init__","False","159","0","1","159","1.0","-1","-1","-1","-1"
"cookiecutter.generate.render_and_create_dir","False","78","7","4","61","0.78","10","0.13","7","0.09"
"cookiecutter.utils.make_sure_path_exists","False","126","1","2","125","0.99","1","0.01","-1","-1"
"cookiecutter.generate._run_hook_from_repo_dir","False","108","6","3","102","0.94","5","0.05","1","0.01"
"cookiecutter.utils.work_in","False","172","13","2","171","0.99","1","0.01","-1","-1"
"cookiecutter.hooks.run_hook","False","111","7","2","93","0.84","18","0.16","-1","-1"
"cookiecutter.hooks.find_hook","False","118","0","3","95","0.81","20","0.17","3","0.03"
"cookiecutter.hooks.valid_hook","False","45","0","1","45","1.0","-1","-1","-1","-1"
"cookiecutter.hooks.run_script_with_context","False","20","7","1","20","1.0","-1","-1","-1","-1"
"cookiecutter.hooks.run_script","False","24","9","5","8","0.33","7","0.29","9","0.38"
"cookiecutter.utils.make_executable","False","24","0","1","24","1.0","-1","-1","-1","-1"
