"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"bentoml._internal.configuration.clean_bentoml_version","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.load_config","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.utils.pkg.pkg_version_info","False","13","0","1","13","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_larger_than","False","3","0","1","3","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.get_bentoml_config_file_from_env","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.get_bentoml_override_config_from_env","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.containers.BentoMLConfiguration.__init__","False","19","2","6","12","0.63","2","0.11","5","0.26"
"bentoml._internal.configuration.helpers.get_default_config","False","19","0","1","19","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.load_config_file","False","37","1","2","36","0.97","1","0.03","-1","-1"
"bentoml._internal.configuration.helpers.import_configuration_spec","False","56","0","1","56","1.0","-1","-1","-1","-1"
"bentoml._internal.utils.lazy_loader.LazyLoader.__init__","False","197","0","1","197","1.0","-1","-1","-1","-1"
"bentoml._internal.utils.lazy_loader.LazyLoader.__getattr__","False","181","78","2","131","0.72","50","0.28","-1","-1"
"bentoml._internal.utils.lazy_loader.LazyLoader._load","False","131","0","1","131","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_range","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_iterable_type","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_larger_than.<locals>.v","False","363","0","1","363","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.ensure_iterable_type.<locals>.v","False","38","0","1","38","1.0","-1","-1","-1","-1"
"bentoml._internal.configuration.helpers.is_valid_ip_address","False","114","2","2","112","0.98","2","0.02","-1","-1"
"bentoml._internal.configuration.containers.BentoMLConfiguration.to_dict","False","17","0","1","17","1.0","-1","-1","-1","-1"
"bentoml._internal.container.register_default_backends","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.container.nerdctl.find_binary","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.container.register_backend","False","6","0","2","4","0.67","2","0.33","-1","-1"
"bentoml._internal.container.base.OCIBuilder.__init__","False","6","0","1","6","1.0","-1","-1","-1","-1"
"bentoml._internal.container.docker.find_binary","False","2","0","1","2","1.0","-1","-1","-1","-1"
"bentoml._internal.container.buildah.find_binary","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.container.buildctl.find_binary","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml._internal.container.podman.find_binary","False","1","0","1","1","1.0","-1","-1","-1","-1"
"bentoml.grpc.utils._import_hook.import_generated_stubs","False","31","0","1","31","1.0","-1","-1","-1","-1"
"bentoml.grpc.utils._import_hook.import_grpc","False","10","0","1","10","1.0","-1","-1","-1","-1"
"bentoml._internal.bento.build_config.dict_options_converter","False","3","0","1","3","1.0","-1","-1","-1","-1"
