"pos","call_count","call_ratio","run_count","not_run_count"
"1","87","0.3","24","13"
"2","51","0.17","26","11"
"3","34","0.12","11","26"
"4","31","0.11","28","9"
"5","27","0.09","27","10"
"6","22","0.07","26","11"
"7","15","0.05","25","12"
"8","7","0.02","23","14"
"9","3","0.01","9","28"
"10","3","0.01","19","18"
"11","3","0.01","12","25"
"12","3","0.01","25","12"
"13","2","0.01","7","30"
"14","2","0.01","25","12"
"15","1","0.0","23","14"
"16","1","0.0","29","8"
"17","1","0.0","30","7"
"18","1","0.0","27","10"
