"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"argparse.FileType.__init__","False","23","0","1","23","1.0","-1","-1","-1","-1"
"argparse.ArgumentParser.__init__","False","2094","3","9","1308","0.62","580","0.28","206","0.1"
"argparse._ArgumentGroup.__init__","False","5656","0","1","5656","1.0","-1","-1","-1","-1"
"argparse._ActionsContainer.__init__","False","7749","1","2","7748","1.0","1","0.0","-1","-1"
"argparse._ActionsContainer.add_argument","False","6111","101","29","1994","0.33","1122","0.18","2995","0.49"
"argparse._ActionsContainer._get_optional_kwargs","False","4385","2","5","2863","0.65","1362","0.31","160","0.04"
"argparse._ActionsContainer._pop_action_class","False","6177","0","1","6177","1.0","-1","-1","-1","-1"
"argparse._ActionsContainer._registry_get","False","15623","0","1","15623","1.0","-1","-1","-1","-1"
"argparse._StoreConstAction.__init__","False","652","0","1","652","1.0","-1","-1","-1","-1"
"argparse.Action.__init__","False","6224","0","1","6224","1.0","-1","-1","-1","-1"
"argparse.ArgumentParser._get_formatter","False","6567","0","1","6567","1.0","-1","-1","-1","-1"
"argparse.HelpFormatter.__init__","False","6567","0","1","6567","1.0","-1","-1","-1","-1"
"argparse.HelpFormatter._Section.__init__","False","6988","0","1","6988","1.0","-1","-1","-1","-1"
"argparse.HelpFormatter._format_args","False","9050","25","15","4893","0.54","2747","0.3","1410","0.16"
"argparse.HelpFormatter._metavar_formatter","False","9516","0","3","8404","0.88","713","0.07","399","0.04"
"argparse.HelpFormatter._metavar_formatter.<locals>.format","False","9437","0","2","9333","0.99","104","0.01","-1","-1"
"argparse.ArgumentParser._add_action","False","4529","3","3","3525","0.78","1001","0.22","3","0.0"
"argparse._ArgumentGroup._add_action","False","6398","4","2","6394","1.0","4","0.0","-1","-1"
"argparse._ActionsContainer._add_action","False","6398","4","4","4550","0.71","1808","0.28","40","0.01"
"argparse._ActionsContainer._check_conflict","False","6398","4","3","4584","0.72","1808","0.28","6","0.0"
"argparse._StoreTrueAction.__init__","False","534","0","1","534","1.0","-1","-1","-1","-1"
"argparse._AppendAction.__init__","False","94","8","3","86","0.91","6","0.06","2","0.02"
"argparse._HelpAction.__init__","False","1905","0","1","1905","1.0","-1","-1","-1","-1"
"argparse._ActionsContainer._get_positional_kwargs","False","1722","1","4","1224","0.71","306","0.18","192","0.11"
"argparse._StoreAction.__init__","False","3211","9","3","3202","1.0","6","0.0","3","0.0"
"argparse.ArgumentParser.parse_args","False","4388","1339","3","2311","0.53","1339","0.31","738","0.17"
"argparse.ArgumentParser.parse_known_args","False","4432","1347","18","1941","0.44","1017","0.23","1474","0.33"
"argparse.ArgumentParser._parse_known_args","False","4432","1347","65","783","0.18","682","0.15","2967","0.67"
"argparse.ArgumentParser._get_positional_actions","False","4386","0","1","4386","1.0","-1","-1","-1","-1"
"argparse.ArgumentParser._match_arguments_partial","False","3990","0","3","2060","0.52","1572","0.39","358","0.09"
"argparse.ArgumentParser._get_nargs_pattern","False","6085","0","13","1348","0.22","1277","0.21","3460","0.57"
"argparse.ArgumentParser._get_values","False","4354","4289","18","1964","0.45","905","0.21","1485","0.34"
"argparse.ArgumentParser._check_value","False","3289","45","2","3244","0.99","45","0.01","-1","-1"
"argparse._StoreAction.__call__","False","2976","0","1","2976","1.0","-1","-1","-1","-1"
"argparse._ActionsContainer.add_argument_group","False","5429","0","1","5429","1.0","-1","-1","-1","-1"
"argparse.Namespace.__init__","False","4435","0","2","4423","1.0","12","0.0","-1","-1"
"argparse.ArgumentParser._parse_optional","False","6774","114","12","3370","0.5","2011","0.3","1393","0.21"
"argparse.ArgumentParser._match_argument","False","2570","366","3","2204","0.86","330","0.13","36","0.01"
"argparse.ArgumentParser._get_value","False","3396","100","3","3296","0.97","57","0.02","43","0.01"
"argparse._ExtendAction.__call__","False","12","0","1","12","1.0","-1","-1","-1","-1"
"argparse._copy_items","False","168","0","2","102","0.61","66","0.39","-1","-1"
"argparse._ActionsContainer.register","False","94407","0","1","94407","1.0","-1","-1","-1","-1"
"argparse.ArgumentParser.__init__.<locals>.identity","False","2683","0","1","2683","1.0","-1","-1","-1","-1"
"argparse.Namespace.__eq__","False","188","0","2","178","0.95","10","0.05","-1","-1"
"argparse.ArgumentParser._get_option_tuples","False","1253","0","10","382","0.3","330","0.26","541","0.43"
"argparse.ArgumentParser.add_subparsers","False","122","49","3","69","0.57","49","0.4","4","0.03"
"argparse.HelpFormatter.add_usage","False","2522","0","2","2516","1.0","6","0.0","-1","-1"
"argparse.HelpFormatter._add_item","False","3804","0","1","3804","1.0","-1","-1","-1","-1"
"argparse.HelpFormatter.format_help","False","2524","2","3","2519","1.0","3","0.0","2","0.0"
"argparse.HelpFormatter._Section.format_help","False","2941","2","5","2519","0.86","335","0.11","87","0.03"
"argparse.HelpFormatter._format_usage","False","2516","2","15","1169","0.46","1117","0.44","230","0.09"
"argparse.HelpFormatter._format_actions_usage","False","2690","16","28","970","0.36","734","0.27","986","0.37"
"argparse.HelpFormatter._get_default_metavar_for_positional","False","2686","0","1","2686","1.0","-1","-1","-1","-1"
"argparse.HelpFormatter._join_parts","False","6596","0","1","6596","1.0","-1","-1","-1","-1"
"argparse._SubParsersAction.__init__","False","73","0","1","73","1.0","-1","-1","-1","-1"
"argparse.ArgumentParser.print_usage","False","2182","0","2","2145","0.98","37","0.02","-1","-1"
"argparse.ArgumentParser.format_usage","False","2260","0","1","2260","1.0","-1","-1","-1","-1"
"argparse.Action.format_usage","False","3756","0","1","3756","1.0","-1","-1","-1","-1"
"argparse.ArgumentParser._print_message","False","4381","0","2","4379","1.0","2","0.0","-1","-1"
"argparse._SubParsersAction.add_parser","False","223","0","4","122","0.55","98","0.44","3","0.01"
"argparse._SubParsersAction._ChoicesPseudoAction.__init__","False","99","0","2","98","0.99","1","0.01","-1","-1"
