"full_name","is_generator","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top2_path_calls","top2_path_ratio","top3p_path_calls","top3p_path_ratio"
"rich.palette.Palette.__init__","False","8","0","1","8","1.0","-1","-1","-1","-1"
"rich.terminal_theme.TerminalTheme.__init__","False","5","0","1","5","1.0","-1","-1","-1","-1"
"rich.style._Bit.__init__","False","13","0","1","13","1.0","-1","-1","-1","-1"
"rich.style.Style.__init__","False","1139","0","2","695","0.61","444","0.39","-1","-1"
"rich.style.Style.__init__.<locals>._make_color","False","1217","0","1","1217","1.0","-1","-1","-1","-1"
"rich.theme.Theme.__init__","False","26","0","1","26","1.0","-1","-1","-1","-1"
"rich.highlighter._combine_regex","False","2","0","1","2","1.0","-1","-1","-1","-1"
"rich.box.Box.__init__","False","19","0","1","19","1.0","-1","-1","-1","-1"
"rich.console.group","False","4","0","1","4","1.0","-1","-1","-1","-1"
"rich.console.Console.__init__","False","337","0","47","90","0.27","51","0.15","196","0.58"
"rich.console._is_jupyter","False","324","324","1","324","1.0","-1","-1","-1","-1"
"rich.console.detect_legacy_windows","False","232","0","1","232","1.0","-1","-1","-1","-1"
"rich._log_render.LogRender.__init__","False","342","0","1","342","1.0","-1","-1","-1","-1"
"rich.theme.ThemeStack.__init__","False","338","0","1","338","1.0","-1","-1","-1","-1"
"rich.logging.RichHandler.__init__","False","5","0","1","5","1.0","-1","-1","-1","-1"
"rich.panel.Panel.__init__","False","69","0","1","69","1.0","-1","-1","-1","-1"
"rich.align.Align.__init__","False","44","5","3","39","0.89","4","0.09","1","0.02"
"rich.align.Align.__repr__","False","3","0","1","3","1.0","-1","-1","-1","-1"
"rich.console.Console._detect_color_system","False","235","0","4","190","0.81","30","0.13","15","0.06"
"rich.console.Console.print","False","427","1","11","277","0.65","110","0.26","40","0.09"
"rich.console.Console.__enter__","False","626","0","1","626","1.0","-1","-1","-1","-1"
"rich.console.Console._enter_buffer","False","689","0","1","689","1.0","-1","-1","-1","-1"
"rich.console.Console._collect_renderables","False","433","0","10","304","0.7","79","0.18","50","0.12"
"rich.protocol.rich_cast","False","5722","0","4","5683","0.99","37","0.01","2","0.0"
"rich.console.Console._collect_renderables.<locals>.check_text","False","746","0","2","626","0.84","120","0.16","-1","-1"
"rich.console.ConsoleOptions.update","False","1413","0","15","586","0.41","408","0.29","419","0.3"
"rich.console.ConsoleOptions.copy","False","5224","0","1","5224","1.0","-1","-1","-1","-1"
"rich.console.Console.render","True","2801","28","9","1867","0.67","424","0.15","510","0.18"
"rich.console.ConsoleOptions.reset_height","False","2752","0","1","2752","1.0","-1","-1","-1","-1"
"rich.align.Align.__rich_console__","True","26","4","6","15","0.58","6","0.23","5","0.19"
"rich.console.Console.measure","False","54","0","1","54","1.0","-1","-1","-1","-1"
"rich.console.Console.render_str","False","1274","0","4","1053","0.83","219","0.17","2","0.0"
"rich.markup.render","False","1420","5","18","1196","0.84","132","0.09","92","0.06"
"rich._emoji_replace._emoji_replace","False","1737","0","1","1737","1.0","-1","-1","-1","-1"
"rich.text.Text.__init__","False","16097","0","1","16097","1.0","-1","-1","-1","-1"
"rich.control.strip_control_codes","False","18089","0","1","18089","1.0","-1","-1","-1","-1"
"rich.protocol.is_renderable","False","2943","0","2","2811","0.96","132","0.04","-1","-1"
"rich.text.Text.__rich_measure__","False","1124","0","1","1124","1.0","-1","-1","-1","-1"
"rich.cells.cell_len","False","47890","0","2","47889","1.0","1","0.0","-1","-1"
"rich.measure.Measurement.normalize","False","4858","0","1","4858","1.0","-1","-1","-1","-1"
"rich.measure.Measurement.with_maximum","False","4238","0","1","4238","1.0","-1","-1","-1","-1"
"rich.constrain.Constrain.__init__","False","46","0","1","46","1.0","-1","-1","-1","-1"
"rich.constrain.Constrain.__rich_console__","True","45","0","2","40","0.89","5","0.11","-1","-1"
"rich.console.ConsoleOptions.update_width","False","1036","0","1","1036","1.0","-1","-1","-1","-1"
"rich.text.Text.__str__","False","1758","0","1","1758","1.0","-1","-1","-1","-1"
"rich.highlighter.Highlighter.__call__","False","394","1","3","307","0.78","86","0.22","1","0.0"
"rich.highlighter.RegexHighlighter.highlight","False","469","0","1","469","1.0","-1","-1","-1","-1"
"rich.text.Text.highlight_regex","False","2015","0","4","1595","0.79","400","0.2","20","0.01"
"rich.text.Text.copy_styles","False","221","0","1","221","1.0","-1","-1","-1","-1"
"rich.text.Text.__rich_console__","True","1118","1","1","1118","1.0","-1","-1","-1","-1"
"rich._pick.pick_bool","False","2334","0","2","2333","1.0","1","0.0","-1","-1"
"rich.text.Text.wrap","False","1130","0","3","908","0.8","221","0.2","1","0.0"
"rich.containers.Lines.__init__","False","4373","0","1","4373","1.0","-1","-1","-1","-1"
"rich.text.Text.split","False","1246","0","5","1016","0.82","204","0.16","26","0.02"
"rich.text.Text.copy","False","2604","0","1","2604","1.0","-1","-1","-1","-1"
"rich.containers.Lines.__iter__","False","7850","0","1","7850","1.0","-1","-1","-1","-1"
"rich.text.Text.__contains__","False","1764","0","3","1762","1.0","1","0.0","1","0.0"
"rich._wrap.divide_line","False","1464","0","9","1175","0.8","206","0.14","83","0.06"
"rich._wrap.words","True","1464","0","2","1258","0.86","206","0.14","-1","-1"
"rich.text.Text.divide","False","1702","0","17","1384","0.81","64","0.04","254","0.15"
"rich.text.Text.rstrip_end","False","1905","0","3","1862","0.98","27","0.01","16","0.01"
"rich.text.Text.__len__","False","9034","0","1","9034","1.0","-1","-1","-1","-1"
"rich.containers.Lines.justify","False","1763","0","6","968","0.55","572","0.32","223","0.13"
"rich.text.Text.truncate","False","2868","0","5","2400","0.84","350","0.12","118","0.04"
"rich.containers.Lines.extend","False","1759","0","1","1759","1.0","-1","-1","-1","-1"
"rich.containers.Lines.__len__","False","1781","0","1","1781","1.0","-1","-1","-1","-1"
"rich.text.Text.join","False","1357","0","2","1068","0.79","289","0.21","-1","-1"
"rich.text.Text.blank_copy","False","1398","0","1","1398","1.0","-1","-1","-1","-1"
"rich._loop.loop_last","True","1941","8","3","1279","0.66","655","0.34","7","0.0"
"rich.text.Text.render","True","1263","1","5","611","0.48","439","0.35","213","0.17"
"rich.segment.Segment.__bool__","False","352","0","1","352","1.0","-1","-1","-1","-1"
"rich.console.Console.__exit__","False","626","1","1","626","1.0","-1","-1","-1","-1"
"rich.console.Console._exit_buffer","False","687","1","1","687","1.0","-1","-1","-1","-1"
"rich.console.Console._check_buffer","False","690","1","7","336","0.49","309","0.45","45","0.07"
"rich.console.Console._render_buffer","False","413","0","6","208","0.5","126","0.31","79","0.19"
"rich.align.Align.__rich_console__.<locals>.blank_lines","True","14","4","3","8","0.57","3","0.21","3","0.21"
"rich.console.Console.get_style","False","9341","6","5","3520","0.38","3455","0.37","2366","0.25"
"rich.style.Style.__bool__","False","12328","0","1","12328","1.0","-1","-1","-1","-1"
"rich.style.Style.__add__","False","6478","0","1","6478","1.0","-1","-1","-1","-1"
"rich.style.Style.__hash__","False","33291","0","2","32582","0.98","709","0.02","-1","-1"
"rich.style.Style.render","False","5444","0","3","3523","0.65","1906","0.35","15","0.0"
"rich.style.Style._make_ansi_codes","False","464","0","25","302","0.65","63","0.14","99","0.21"
"rich.align.Align.__rich_measure__","False","2","0","1","2","1.0","-1","-1","-1","-1"
"rich.console.Console.begin_capture","False","61","0","1","61","1.0","-1","-1","-1","-1"
"rich.align.VerticalCenter.__init__","False","1","0","1","1","1.0","-1","-1","-1","-1"
"rich.align.VerticalCenter.__repr__","False","1","0","1","1","1.0","-1","-1","-1","-1"
"rich.align.VerticalCenter.__rich_console__","True","1","0","1","1","1.0","-1","-1","-1","-1"
"rich.console.Console.render_lines","False","1463","0","5","1140","0.78","291","0.2","32","0.02"
"rich.align.VerticalCenter.__rich_console__.<locals>.blank_lines","True","2","0","1","2","1.0","-1","-1","-1","-1"
"rich.console.Console.end_capture","False","59","0","1","59","1.0","-1","-1","-1","-1"
"rich.align.VerticalCenter.__rich_measure__","False","1","0","1","1","1.0","-1","-1","-1","-1"
"rich.markup._parse","True","226","5","13","108","0.48","67","0.3","51","0.23"
"rich.style.Style.__str__","False","483","0","20","441","0.91","8","0.02","34","0.07"
"rich.style._Bit.__get__","False","752","0","2","679","0.9","73","0.1","-1","-1"
"rich.text.Text.append","False","1500","2","5","732","0.49","611","0.41","157","0.1"
"rich.markup.render.<locals>.pop_style","False","68","2","3","66","0.97","1","0.01","1","0.01"
"rich.markup.Tag.__str__","False","349","0","1","349","1.0","-1","-1","-1","-1"
"rich.text.Text.render.<locals>.get_current_style","False","5049","0","2","2808","0.56","2241","0.44","-1","-1"
"rich.style.Style.copy","False","103","0","2","86","0.83","17","0.17","-1","-1"
"rich.ansi.AnsiDecoder.__init__","False","82","0","1","82","1.0","-1","-1","-1","-1"
"rich.ansi.AnsiDecoder.decode","True","49","0","1","49","1.0","-1","-1","-1","-1"
"rich.ansi.AnsiDecoder.decode_line","False","85","0","8","71","0.84","7","0.08","7","0.08"
"rich.ansi._ansi_tokenize","True","85","0","5","71","0.84","7","0.08","7","0.08"
"rich.style.Style.__eq__","False","2326","0","2","2323","1.0","3","0.0","-1","-1"
"rich.style.Style.update_link","False","4","0","1","4","1.0","-1","-1","-1","-1"
"rich.text.Text.__eq__","False","86","0","2","78","0.91","8","0.09","-1","-1"
"rich.console.Console.capture","False","20","0","1","20","1.0","-1","-1","-1","-1"
"rich.console.Capture.__init__","False","20","0","1","20","1.0","-1","-1","-1","-1"
"rich.console.Capture.__enter__","False","20","0","1","20","1.0","-1","-1","-1","-1"
"rich.console.Capture.__exit__","False","20","0","1","20","1.0","-1","-1","-1","-1"
"rich.console.Capture.get","False","21","1","2","20","0.95","1","0.05","-1","-1"
"rich.progress_bar.ProgressBar.__init__","False","36","0","1","36","1.0","-1","-1","-1","-1"
"rich.progress_bar.ProgressBar.__repr__","False","1","0","1","1","1.0","-1","-1","-1","-1"
"rich.progress_bar.ProgressBar.update","False","3","0","1","3","1.0","-1","-1","-1","-1"
"rich.progress_bar.ProgressBar.__rich_console__","True","29","0","6","10","0.34","7","0.24","12","0.41"
"rich.progress_bar.ProgressBar.__rich_measure__","False","28","0","2","23","0.82","5","0.18","-1","-1"
"rich.progress_bar.ProgressBar._render_pulse","True","3","0","1","3","1.0","-1","-1","-1","-1"
