"pos","call_count","call_ratio","run_count","not_run_count"
"1","72","0.27","33","47"
"2","39","0.15","34","46"
"3","32","0.12","34","46"
"4","27","0.1","29","51"
"5","21","0.08","32","48"
"6","14","0.05","35","45"
"7","13","0.05","19","61"
"8","9","0.03","32","48"
"9","8","0.03","37","43"
"10","5","0.02","23","57"
"11","3","0.01","36","44"
"12","3","0.01","10","70"
"13","2","0.01","36","44"
"14","2","0.01","33","47"
"15","2","0.01","25","55"
"16","2","0.01","30","50"
"17","2","0.01","23","57"
"18","2","0.01","30","50"
"19","2","0.01","8","72"
"20","1","0.0","39","41"
"21","1","0.0","31","49"
"22","1","0.0","3","77"
"23","1","0.0","29","51"
"24","1","0.0","22","58"
