"pos","call_count","call_ratio","run_count","not_run_count"
"1","71","0.27","3","58"
"2","54","0.2","4","57"
"3","46","0.17","17","44"
"4","22","0.08","31","30"
"5","14","0.05","11","50"
"6","7","0.03","13","48"
"7","6","0.02","20","41"
"8","6","0.02","5","56"
"9","5","0.02","27","34"
"10","4","0.02","32","29"
"11","4","0.02","6","55"
"12","4","0.02","19","42"
"13","3","0.01","16","45"
"14","3","0.01","10","51"
"15","3","0.01","36","25"
"16","2","0.01","12","49"
"17","2","0.01","37","24"
"18","2","0.01","18","43"
"19","2","0.01","28","33"
"20","2","0.01","14","47"
"21","1","0.0","23","38"
"22","1","0.0","28","33"
